parameter_name	description	category	targeted_group
C126_C	Unevenness of brightness on nucleus C	cell wall	C (Nucleus)
C127_C	Unevenness of cell wall thickness on nucleus C	cell wall	C (Nucleus)
C128_C	Length from bud neck to the farthest point on mother cell on nucleus C	cell wall	C (Nucleus)
A7-1_C	Actin region size in mother cell on nucleus C	actin	C (Nucleus)
A7-2_C	Actin region size in bud on nucleus C	actin	C (Nucleus)
A8-1_C	Actin region brightness in mother cell on nucleus C	actin	C (Nucleus)
A8-2_C	Actin region brightness in bud Actin region brightness in bud on nucleus C	actin	C (Nucleus)
A9_C	Ratio of actin region to bud neck on nucleus C	actin	C (Nucleus)
A101_C	Actin region ratio on nucleus C	actin	C (Nucleus)
A102_C	Actin region ratio in bud on nucleus C	actin	C (Nucleus)
A103_C	Relative Distance of actin patch center from neck in mother cell on nucleus C	actin	C (Nucleus)
A104_C	Relative Distance of actin patch center from neck in bud on nucleus C	actin	C (Nucleus)
A107_C	Actin api ratio on nucleus C	actin	C (Nucleus)
A108_C	Actin iso ratio on nucleus C	actin	C (Nucleus)
A109_C	Actin E ratio on nucleus C	actin	C (Nucleus)
A110_C	Actin F ratio on nucleus C	actin	C (Nucleus)
A112_C	"Actin B, C or D ratio on nucleus C"	actin	C (Nucleus)
A113_C	No actin patch found ratio on nucleus C	actin	C (Nucleus)
A120_C	Total length of actin patch link on nucleus C	actin	C (Nucleus)
A121_C	Maximam actin patch length on nucleus C	actin	C (Nucleus)
A122_C	Number of actin patches on nucleus C	actin	C (Nucleus)
A123_C	Ratio of actin patch region to actin region on nucleus C	actin	C (Nucleus)
D14-1_C	Area of nucleus region in mother cell in nucleus C	nucleus	C (Nucleus)
D14-2_C	Area of nucleus region in bud in nucleus C	nucleus	C (Nucleus)
D14-3_C	Area of nucleus region in nucleus C	nucleus	C (Nucleus)
D15-1_C	Sum of brightness in nucleus region in mother cell in nucleus C	nucleus	C (Nucleus)
D15-2_C	Sum of brightness in nucleus region in bud in nucleus C	nucleus	C (Nucleus)
D15-3_C	Sum of brightness in nucleus region in nucleus C	nucleus	C (Nucleus)
D16-1_C	Maximum brightness of a nucleus in the mother cell	nucleus	C (Nucleus)
D16-2_C	Maximum brightness of nuclei	nucleus	C (Nucleus)
D16-3_C	Maximum brightness of nuclei	nucleus	C (Nucleus)
D17-1_C	Fitness to ellipse of the nucleus in the mother cell	nucleus	C (Nucleus)
D17-2_C	Fitness to ellipse of the nucleus in the daughter cell	nucleus	C (Nucleus)
D103_C	Distance from nuclear center to mother tip in nucleus C	nucleus	C (Nucleus)
D106_C	Ratio of D103 to C103 in nucleus C	nucleus	C (Nucleus)
D108_C	Distance from neck to mother cell's nucleus in nucleus C	nucleus	C (Nucleus)
D109_C	Distance from neck to bud's nucleus in nucleus C	nucleus	C (Nucleus)
D112_C	Ratio_of_D108_to_C128_on_stage_C	nucleus	C (Nucleus)
D113_C	Ratio_of_D109_to_C107	nucleus	C (Nucleus)
D116_C	Distance between two nucleus in nucleus C	nucleus	C (Nucleus)
D117_C	Distance from mother cell's center to mother cell's nucleus in nucleus C	nucleus	C (Nucleus)
D119_C	Distance from bud center to bud's nucleus in nucleus C	nucleus	C (Nucleus)
D121_C	Distance from bud nucleus to bud tip in nucleus C	nucleus	C (Nucleus)
D123_C	Ratio_of_D121_to_C107_on_stage_C	nucleus	C (Nucleus)
D125_C	Distance_between_nuclear_gravity_center_in_mother_and_mother_hip	nucleus	C (Nucleus)
D128_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_tip	nucleus	C (Nucleus)
D130_C	Distance_between_nuclear_brightest_point_in_mother_and_middle_point_of_neck	nucleus	C (Nucleus)
D131_C	Distance_between_nuclear_brightest_point_in_bud_and_middle_point_of_neck	nucleus	C (Nucleus)
D134_C	Distance_between_two_nuclear_brightest_points	nucleus	C (Nucleus)
D135_C	Distance_between_nuclear_brightest_point_and_cell_center	nucleus	C (Nucleus)
D137_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
D139_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
D141_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_hip_on_stage_C	nucleus	C (Nucleus)
D143_C	Nucleus border point close to neck in nucleus A1B	nucleus	C (Nucleus)
D144_C	Nucleus border point close to neck on bud's nucleus	nucleus	C (Nucleus)
D145_C	Distance_between_nuclear_outline_point_C7_and_mother_hip_on_stage_A1B	nucleus	C (Nucleus)
D146_C	Distance_between_nuclear_outline_point_C8_in_bud_and_bud_tip_on_stage_C	nucleus	C (Nucleus)
D147_C	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	C (Nucleus)
D148_C	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	C (Nucleus)
D149_C	Relative_distance_of_nuclear_gravity_center_in_bud_to_bud_center_on_stage_C	nucleus	C (Nucleus)
